Date/Time,Word Count,en,es
2020.03.26-15.53.05,0,0,0
2020.03.26-15.59.49,101,101,0
2020.03.26-16.03.48,6,6,0
2020.03.26-16.34.44,19,19,0
2020.03.26-16.36.09,19,19,19
2020.03.26-16.59.12,22,22,19
2020.03.26-17.00.13,22,22,22
2020.03.26-17.14.04,56,56,22
2020.03.26-17.16.16,56,56,56
2020.04.16-19.04.56,134,134,56
2020.04.16-19.18.04,134,134,134
2020.04.17-19.15.05,141,141,122
2020.04.17-19.16.17,141,141,141
2020.05.05-16.49.48,220,220,114
2020.05.05-16.52.51,220,220,130
2020.05.05-16.59.15,222,222,130
2020.05.08-17.11.28,358,358,130
2020.05.08-17.23.56,358,358,342
2020.05.11-18.58.09,363,363,342
2020.05.11-19.03.53,363,363,346
